ID,ST_ABBREV,CNTY_FIPS,ACSTOTPOP,P_PM25,P_OZONE,P_DSLPM,P_PTRAF,P_MINORTY,P_LWINCPCT,P_LNGISO,P_D2_PM25,P_D5_PM25
44000000000,RI,44007,1860,65.56586389260788,79.73275694066952,52.96653721096819,41.8746445735181,77.55896080104012,83.5304113199526,33.47781429210093,30.744197244002564,30.581384471909853
44000000001,RI,44007,6390,32.78930927654687,61.74735951206684,39.881223301538924,25.943146486841236,52.72415291394133,41.02562707756826,65.62768883714953,73.55855023694714,76.35178674709294
44000000002,RI,44007,6226,24.878869473895964,39.81735186394869,33.03097961135675,82.7285532794994,59.036830193240526,43.91988735327569,6.1514790903804695,68.54177066171141,65.74813668540332
44000000003,RI,44007,6191,91.16641529399999,19.76687627145177,47.62021648404307,79.41375473666866,51.864003974603435,22.23660936774691,14.285811240553299,86.93292900100192,27.48307803308648
44000000004,RI,44007,4772,92.42240248059196,38.32367412867467,88.17495016213879,36.05591394006089,26.595653962833783,59.527570856705395,8.68021136174022,76.39525724148754,26.22390365250981
44000000005,RI,44007,4092,80.62980110873458,39.38874915200603,46.6545964453906,64.19888322239254,71.40842979722795,17.76755508234914,8.258304185517611,81.45758884847879,71.87171572797487
44000000006,RI,44007,6734,42.8460326880028,69.72046337535481,59.75897165680553,75.20555401408511,33.86565080747274,50.851047396199434,73.43684672088058,42.87055837027668,25.38446247095032
44000000007,RI,44007,7265,27.32540855047879,62.81681035164098,72.10227024597691,56.864056811962364,12.066857146673577,56.7836368724834,61.292628750401896,35.13052623969949,80.81764438748635
44000000008,RI,44007,1466,71.31747698841177,81.54095569322449,49.363183359412695,55.07554048492045,64.86514515210926,37.0636764138779,42.93390632698602,77.54549162142352,72.26192480958072
44000000009,RI,44007,6334,53.0114370304701,50.416119387146196,90.10939954230436,34.929660363031616,25.05440774959916,60.49416106381383,12.826732852080118,81.70577070577754,26.019809767500583
44000000010,RI,44007,5426,29.152867613358413,23.969568445372627,89.48396876112145,24.517193746412946,89.93897966999772,17.348519245306807,44.32927000934659,95.29738050804983,26.277990842304202
44000000011,RI,44007,6578,57.13826825834526,68.49335904172463,41.8694138202994,80.80510305673288,91.08392904521993,17.87581053368951,42.87774166244525,52.53370809144556,93.01132880908699
44000000012,RI,44007,7231,22.57913908364138,72.0588786462673,58.31564989478983,81.02926400143313,87.76347316873813,78.34024317079368,18.856149592801216,49.52933834866595,47.6960388859529
44000000013,RI,44007,4444,88.19903015590866,57.095789817712216,45.158846757723566,62.31710200912875,41.46348952171277,42.734679388667246,39.70813193903784,79.45455909490776,47.427518882949926
44000000014,RI,44007,4171,39.40849862000127,72.82253849659207,44.08431312329033,41.73208537340905,11.313812404953731,24.78365947419513,36.88037875178988,47.219461978723324,80.14716797705519
44000000015,RI,44007,3919,69.68917132654865,52.03466972732931,27.471425472753698,42.44467022288626,88.90707781995665,55.212731024219934,54.26800784417732,90.87604209466379,90.09639472640555
44000000016,RI,44007,1130,43.378330706705825,54.20496220364956,65.84081037665308,68.81689752091675,46.395652606971716,74.28950358859304,55.8074920694115,85.52254363638288,92.96407872289245
44000000017,RI,44007,2685,59.00510158833581,47.06557637689122,58.67949455633372,80.79771819668039,92.16565961871191,31.618219117256924,8.624320781763561,53.74555802575136,75.74998570916168
44000000018,RI,44007,1769,61.00327095074597,16.906434505807137,28.449076333749286,80.0960496985582,91.9076980525865,62.96256663806302,34.9690091701177,77.56445901657081,47.84320932928777
44000000019,RI,44007,3391,33.86408416441453,23.091857024497834,43.669313103852964,72.59128821003367,82.5058037147256,21.571754804520136,55.06879325713891,77.8361726822665,26.17905303570149
44000000020,RI,44007,6611,92.7188470823419,17.357188926505067,85.85381435976579,62.942215230800144,35.02815582591478,18.979492529982792,45.250900686407014,29.631166293859014,77.50887177863032
44000000021,RI,44007,7949,78.1349617520836,62.73078084478353,41.05064667468715,23.88979754965342,42.733306931163646,55.9143066307474,73.51918729506578,88.78891509428793,61.32191448044957
